;BB;cond;age;zf0_Original;zf0_Original_mum;M_minus_NM;M_minus_NM_mum
162;18;m100;7.166666666666667;0.443947306936192;1.4605798177551943;-35.566645701736206;-37.28523250858757
163;18;m100;7.166666666666667;-2.210807647704495;2.289931297050388;-22.42948173622858;-27.430984453390124
164;18;m100;7.166666666666667;-2.210807647704495;2.025227591055243;-22.42948173622858;-43.39040893644267
165;18;m100;7.166666666666667;-2.210807647704495;1.058360136420454;-22.42948173622858;-28.722859575132986
166;18;m100;7.166666666666667;-2.210807647704495;1.8696613736655203;-22.42948173622858;-28.56925052994029
167;18;m100;7.166666666666667;-2.210807647704495;-0.24958759571955705;-22.42948173622858;-29.648679952733062
168;18;m100;7.166666666666667;-2.210807647704495;0.2049277405257317;-22.42948173622858;-29.626533712951527
169;18;m100;7.166666666666667;-2.210807647704495;1.9163166513818304;-22.42948173622858;-37.920550804720506
170;18;m100;7.166666666666667;-2.210807647704495;2.270852348092836;-22.42948173622858;-43.77831364015958
172;18;m100;7.166666666666667;-2.210807647704495;1.4605798177551943;-22.42948173622858;-37.28523250858757
173;18;m100;7.166666666666667;0.7790326250050703;2.289931297050388;-38.486513074191464;-27.430984453390124
174;18;m100;7.166666666666667;0.7790326250050703;2.025227591055243;-38.486513074191464;-43.39040893644267
175;18;m100;7.166666666666667;0.7790326250050703;1.058360136420454;-38.486513074191464;-28.722859575132986
176;18;m100;7.166666666666667;0.7790326250050703;1.8696613736655203;-38.486513074191464;-28.56925052994029
177;18;m100;7.166666666666667;0.7790326250050703;-0.24958759571955705;-38.486513074191464;-29.648679952733062
178;18;m100;7.166666666666667;0.7790326250050703;0.2049277405257317;-38.486513074191464;-29.626533712951527
179;18;m100;7.166666666666667;0.7790326250050703;1.9163166513818304;-38.486513074191464;-37.920550804720506
180;18;m100;7.166666666666667;0.7790326250050703;2.270852348092836;-38.486513074191464;-43.77831364015958
182;18;m100;7.166666666666667;0.7790326250050703;1.4605798177551943;-38.486513074191464;-37.28523250858757
183;18;m100;7.166666666666667;2.4408222449608483;2.289931297050388;-43.392605269707246;-27.430984453390124
184;18;m100;7.166666666666667;2.4408222449608483;2.025227591055243;-43.392605269707246;-43.39040893644267
185;18;m100;7.166666666666667;2.4408222449608483;1.058360136420454;-43.392605269707246;-28.722859575132986
186;18;m100;7.166666666666667;2.4408222449608483;1.8696613736655203;-43.392605269707246;-28.56925052994029
187;18;m100;7.166666666666667;2.4408222449608483;-0.24958759571955705;-43.392605269707246;-29.648679952733062
188;18;m100;7.166666666666667;2.4408222449608483;0.2049277405257317;-43.392605269707246;-29.626533712951527
189;18;m100;7.166666666666667;2.4408222449608483;1.9163166513818304;-43.392605269707246;-37.920550804720506
190;18;m100;7.166666666666667;2.4408222449608483;2.270852348092836;-43.392605269707246;-43.77831364015958
192;18;m100;7.166666666666667;2.4408222449608483;1.4605798177551943;-43.392605269707246;-37.28523250858757
193;18;m100;7.166666666666667;1.8370488364229394;2.289931297050388;-41.53639891655246;-27.430984453390124
194;18;m100;7.166666666666667;1.8370488364229394;2.025227591055243;-41.53639891655246;-43.39040893644267
195;18;m100;7.166666666666667;1.8370488364229394;1.058360136420454;-41.53639891655246;-28.722859575132986
196;18;m100;7.166666666666667;1.8370488364229394;1.8696613736655203;-41.53639891655246;-28.56925052994029
197;18;m100;7.166666666666667;1.8370488364229394;-0.24958759571955705;-41.53639891655246;-29.648679952733062
198;18;m100;7.166666666666667;1.8370488364229394;0.2049277405257317;-41.53639891655246;-29.626533712951527
199;18;m100;7.166666666666667;1.8370488364229394;1.9163166513818304;-41.53639891655246;-37.920550804720506
200;18;m100;7.166666666666667;1.8370488364229394;2.270852348092836;-41.53639891655246;-43.77831364015958
202;18;m100;7.166666666666667;1.8370488364229394;1.4605798177551943;-41.53639891655246;-37.28523250858757
203;18;m100;7.166666666666667;1.1348030628473653;2.289931297050388;-37.15271410113138;-27.430984453390124
204;18;m100;7.166666666666667;1.1348030628473653;2.025227591055243;-37.15271410113138;-43.39040893644267
205;18;m100;7.166666666666667;1.1348030628473653;1.058360136420454;-37.15271410113138;-28.722859575132986
206;18;m100;7.166666666666667;1.1348030628473653;1.8696613736655203;-37.15271410113138;-28.56925052994029
207;18;m100;7.166666666666667;1.1348030628473653;-0.24958759571955705;-37.15271410113138;-29.648679952733062
208;18;m100;7.166666666666667;1.1348030628473653;0.2049277405257317;-37.15271410113138;-29.626533712951527
209;18;m100;7.166666666666667;1.1348030628473653;1.9163166513818304;-37.15271410113138;-37.920550804720506
210;18;m100;7.166666666666667;1.1348030628473653;2.270852348092836;-37.15271410113138;-43.77831364015958
212;18;m100;7.166666666666667;1.1348030628473653;1.4605798177551943;-37.15271410113138;-37.28523250858757
213;18;m100;7.166666666666667;1.306694347610452;2.289931297050388;-37.09835680716276;-27.430984453390124
214;18;m100;7.166666666666667;1.306694347610452;2.025227591055243;-37.09835680716276;-43.39040893644267
215;18;m100;7.166666666666667;1.306694347610452;1.058360136420454;-37.09835680716276;-28.722859575132986
216;18;m100;7.166666666666667;1.306694347610452;1.8696613736655203;-37.09835680716276;-28.56925052994029
217;18;m100;7.166666666666667;1.306694347610452;-0.24958759571955705;-37.09835680716276;-29.648679952733062
218;18;m100;7.166666666666667;1.306694347610452;0.2049277405257317;-37.09835680716276;-29.626533712951527
219;18;m100;7.166666666666667;1.306694347610452;1.9163166513818304;-37.09835680716276;-37.920550804720506
220;18;m100;7.166666666666667;1.306694347610452;2.270852348092836;-37.09835680716276;-43.77831364015958
222;18;m100;7.166666666666667;1.306694347610452;1.4605798177551943;-37.09835680716276;-37.28523250858757
223;18;m100;7.166666666666667;2.0525426373294695;2.289931297050388;-41.69468955353955;-27.430984453390124
224;18;m100;7.166666666666667;2.0525426373294695;2.025227591055243;-41.69468955353955;-43.39040893644267
225;18;m100;7.166666666666667;2.0525426373294695;1.058360136420454;-41.69468955353955;-28.722859575132986
226;18;m100;7.166666666666667;2.0525426373294695;1.8696613736655203;-41.69468955353955;-28.56925052994029
227;18;m100;7.166666666666667;2.0525426373294695;-0.24958759571955705;-41.69468955353955;-29.648679952733062
228;18;m100;7.166666666666667;2.0525426373294695;0.2049277405257317;-41.69468955353955;-29.626533712951527
229;18;m100;7.166666666666667;2.0525426373294695;1.9163166513818304;-41.69468955353955;-37.920550804720506
230;18;m100;7.166666666666667;2.0525426373294695;2.270852348092836;-41.69468955353955;-43.77831364015958
232;18;m100;7.166666666666667;2.0525426373294695;1.4605798177551943;-41.69468955353955;-37.28523250858757
