;index;file;start_times;stop_times;check_timings;duration;phase;who;voc_type;category1_M;category2_M;category1_F;category2_F;agr_cat1;agr_cat2;"Garde (0;1)";"Langue entendue (F;Autre)";"Langue parlée (1;2)";"bababa (0;1;2)";"bodaga (0;1;2)";"imitation (0;1;2)";"pointer doigt (0;1)";pretend play score (x/7);social gesture score (x/7);words understood (x/139);words spoken (x/139);word spoken all;"combiner mots 0;1;2";sentiments (x/4);expressions (x/5);"Reco miroir (0;1;2)";"attire attention soi (0;1;2)";"aime/aime pas (0;1;2)";"reco photo (0;1;2)";"attire attention actions (0;1;2)";Unnamed: 34;coded;audio_order;BB;delete_group;merge_group;cond;BBvoc_NM;BBvoc_M;othersound_NM;othersound_M
36;36;BB12_6M_1204_m100_NM;16.424;17.291;11.921;0.867;BL;N;;N;;N;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;5.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_16.42_to_17.29;/BB/BL/BB12_6M_1204_m100_16.42_to_17.29_BL;/other/BL/BB12_6M_1204_m100_NM_15.37_to_16.42;/other/BL/BB12_6M_1204_m100_15.37_to_16.42_BL
37;37;BB12_6M_1204_m100_NM;29.212;29.777;5.832999999999998;0.565;BL;N;;N;;B;VS;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;1.0;6.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_29.21_to_29.78;/BB/BL/BB12_6M_1204_m100_29.21_to_29.78_BL;/other/BL/BB12_6M_1204_m100_NM_17.29_to_29.21;/other/BL/BB12_6M_1204_m100_17.29_to_29.21_BL
38;38;BB12_6M_1204_m100_NM;35.61;36.336;1.0050000000000026;0.726;BL;N;;N;;N;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;8.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_35.61_to_36.34;/BB/BL/BB12_6M_1204_m100_35.61_to_36.34_BL;/other/BL/BB12_6M_1204_m100_NM_29.78_to_35.61;/other/BL/BB12_6M_1204_m100_29.78_to_35.61_BL
39;39;BB12_6M_1204_m100_NM;37.341;39.977;2.514000000000003;2.636;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;9.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_37.34_to_39.98;/BB/BL/BB12_6M_1204_m100_37.34_to_39.98_BL;/other/BL/BB12_6M_1204_m100_NM_36.34_to_37.34;/other/BL/BB12_6M_1204_m100_36.34_to_37.34_BL
40;40;BB12_6M_1204_m100_NM;42.491;43.684;0.6350000000000051;1.193;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;10.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_42.49_to_43.68;/BB/BL/BB12_6M_1204_m100_42.49_to_43.68_BL;/other/BL/BB12_6M_1204_m100_NM_39.98_to_42.49;/other/BL/BB12_6M_1204_m100_39.98_to_42.49_BL
41;41;BB12_6M_1204_m100_NM;44.319;44.522;0.7349999999999994;0.203;BL;M;;M;;N;;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;11.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_44.32_to_44.52;/BB/BL/BB12_6M_1204_m100_44.32_to_44.52_BL;/other/BL/BB12_6M_1204_m100_NM_43.68_to_44.32;/other/BL/BB12_6M_1204_m100_43.68_to_44.32_BL
42;42;BB12_6M_1204_m100_NM;45.257;46.534;3.9579999999999984;1.277;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;12.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_45.26_to_46.53;/BB/BL/BB12_6M_1204_m100_45.26_to_46.53_BL;/other/BL/BB12_6M_1204_m100_NM_44.52_to_45.26;/other/BL/BB12_6M_1204_m100_44.52_to_45.26_BL
43;43;BB12_6M_1204_m100_NM;50.492;53.906;3.1870000000000047;3.414;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;13.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_50.49_to_53.91;/BB/BL/BB12_6M_1204_m100_50.49_to_53.91_BL;/other/BL/BB12_6M_1204_m100_NM_46.53_to_50.49;/other/BL/BB12_6M_1204_m100_46.53_to_50.49_BL
44;44;BB12_6M_1204_m100_NM;57.093;58.134;0.26200000000000045;1.041;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;14.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_57.09_to_58.13;/BB/BL/BB12_6M_1204_m100_57.09_to_58.13_BL;/other/BL/BB12_6M_1204_m100_NM_53.91_to_57.09;/other/BL/BB12_6M_1204_m100_53.91_to_57.09_BL
45;45;BB12_6M_1204_m100_NM;58.396;59.922;14.281999999999996;1.526;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;15.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_58.4_to_59.92;/BB/BL/BB12_6M_1204_m100_58.4_to_59.92_BL;/other/BL/BB12_6M_1204_m100_NM_58.13_to_58.4;/other/BL/BB12_6M_1204_m100_58.13_to_58.4_BL
46;46;BB12_6M_1204_m100_NM;74.204;74.354;0.32800000000000296;0.15;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;18.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_74.2_to_74.35;/BB/BL/BB12_6M_1204_m100_74.2_to_74.35_BL;/other/BL/BB12_6M_1204_m100_NM_59.92_to_74.2;/other/BL/BB12_6M_1204_m100_59.92_to_74.2_BL
47;47;BB12_6M_1204_m100_NM;74.682;75.511;15.450000000000003;0.829;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;19.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_74.68_to_75.51;/BB/BL/BB12_6M_1204_m100_74.68_to_75.51_BL;/other/BL/BB12_6M_1204_m100_NM_74.35_to_74.68;/other/BL/BB12_6M_1204_m100_74.35_to_74.68_BL
48;48;BB12_6M_1204_m100_NM;90.961;91.795;9.689999999999998;0.834;BL;M;;M;;M;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;20.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_90.96_to_91.8;/BB/BL/BB12_6M_1204_m100_90.96_to_91.8_BL;/other/BL/BB12_6M_1204_m100_NM_75.51_to_90.96;/other/BL/BB12_6M_1204_m100_75.51_to_90.96_BL
49;49;BB12_6M_1204_m100_NM;101.485;102.214;4.5859999999999985;0.729;BL;N;;N;;N;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;22.0;12;;;m100;/BB/BL/BB12_6M_1204_m100_NM_101.48_to_102.21;/BB/BL/BB12_6M_1204_m100_101.48_to_102.21_BL;/other/BL/BB12_6M_1204_m100_NM_91.8_to_101.48;/other/BL/BB12_6M_1204_m100_91.8_to_101.48_BL
